CustID,Order,Visits,Device,Region,Distance,Shirtsyment,Gender,FaceTime,NoDevices,Category,Csat,MaritalState,NumAdress,Complaints,Coupons,NumOrders,LastOrder,Returns,BasSize
53418,Nein,1.0,Computer,1,12.0,Debit Card,Male,4.0,4,Shirts,2,Single,3,0,2.0,2.0,1.0,135.51,0
50833,Nein,13.0,Computer,1,22.0,Debit Card,Male,3.0,3,Shirts,3,Married,10,0,1.0,1.0,0.0,135.44,0
52303,Nein,13.0,Computer,1,22.0,Debit Card,Male,3.0,3,Shirts,3,Married,10,0,1.0,1.0,0.0,135.44,0
51145,Nein,16.0,Phone,2,8.0,Debit Card,Male,3.0,3,Shirts,1,Single,1,0,0.0,1.0,8.0,135.39,0
52615,Nein,16.0,Phone,2,8.0,Debit Card,Male,3.0,3,Shirts,1,Single,1,0,1.0,1.0,8.0,135.39,0
51083,Nein,28.0,Phone,1,28.0,COD,Male,3.0,4,Shirts,4,Married,6,0,1.0,1.0,2.0,135.37,0
52553,Nein,28.0,Phone,1,28.0,COD,Male,3.0,4,Shirts,4,Married,6,0,1.0,1.0,2.0,135.37,0
51045,Nein,0.0,Phone,1,14.0,Credit Card,Female,2.0,1,Shirts,3,Married,8,0,0.0,1.0,2.0,135.17,0
52515,Nein,0.0,Phone,1,14.0,Credit Card,Female,2.0,1,Shirts,3,Married,8,0,0.0,1.0,2.0,135.17,0
50800,Nein,8.0,Phone,1,12.0,Debit Card,Male,3.0,3,Shirts,3,Divorced,1,1,1.0,2.0,2.0,135.06,0
52270,Nein,8.0,Phone,1,12.0,Debit Card,Male,3.0,3,Shirts,3,Married,1,1,1.0,2.0,2.0,135.06,0
50441,Nein,0.0,Phone,1,16.0,Credit Card,Male,3.0,2,Shirts,3,Single,2,0,1.0,1.0,2.0,135.05,0
51911,Nein,0.0,Phone,1,16.0,Credit Card,Male,3.0,1,Shirts,3,Single,2,0,0.0,1.0,2.0,135.05,0
50898,Nein,10.0,Computer,1,11.0,COD,Male,2.0,1,Shirts,3,Single,1,0,1.0,1.0,3.0,135.0,0
52368,Nein,10.0,Computer,1,11.0,COD,Male,2.0,1,Shirts,3,Single,1,0,0.0,1.0,3.0,135.0,0
51310,Nein,25.0,Computer,3,126.0,Debit Card,Male,2.0,3,Shirts,1,Married,3,0,1.0,1.0,0.0,134.82,0
52780,Nein,25.0,Computer,3,35.0,Debit Card,Male,2.0,3,Shirts,1,Married,3,0,1.0,1.0,0.0,134.82,0
51103,Nein,4.0,Phone,1,8.0,Debit Card,Male,3.0,3,Shirts,3,Married,2,0,0.0,1.0,3.0,134.77,0
52573,Nein,4.0,Phone,1,8.0,Debit Card,Male,3.0,3,Shirts,3,Married,2,0,1.0,1.0,3.0,134.77,0
51350,Nein,0.0,Phone,1,8.0,CC,Male,2.0,3,Shirts,4,Married,10,0,1.0,2.0,2.0,134.68,0
50240,Nein,10.0,Phone,1,16.0,CC,Female,3.0,3,Shirts,5,Divorced,7,0,1.0,1.0,3.0,134.52,0
51710,Nein,10.0,Phone,1,16.0,CC,Female,3.0,3,Shirts,5,Married,7,0,1.0,1.0,3.0,134.52,0
51487,Nein,18.0,Phone,1,35.0,CC,Male,2.0,3,Shirts,1,Single,6,0,1.0,1.0,3.0,134.52,0
50588,Nein,6.0,Phone,1,19.0,Debit Card,Female,2.0,3,Shirts,2,Single,4,0,1.0,1.0,2.0,134.52,0
52058,Nein,6.0,Phone,1,19.0,Debit Card,Female,2.0,3,Shirts,1,Single,4,0,1.0,1.0,2.0,134.52,0
50372,Nein,0.0,Phone,3,28.0,COD,Male,2.0,3,Shirts,3,Single,2,0,1.0,1.0,2.0,134.47,0
51842,Nein,0.0,Phone,3,28.0,COD,Male,2.0,3,Shirts,3,Single,2,0,0.0,1.0,2.0,134.47,0
51124,Nein,0.0,Phone,1,14.0,CC,Female,3.0,3,Shirts,1,Single,2,0,1.0,1.0,4.0,134.45,0
52594,Nein,0.0,Phone,1,14.0,CC,Female,3.0,3,Shirts,1,Single,2,0,0.0,1.0,4.0,134.45,0
51102,Nein,5.0,Computer,1,16.0,Debit Card,Male,2.0,3,Shirts,3,Married,7,0,0.0,1.0,3.0,134.33,0
52572,Nein,5.0,Computer,1,16.0,Debit Card,Male,2.0,3,Shirts,3,Married,7,0,0.0,1.0,3.0,134.33,0
50494,Nein,0.0,Phone,1,8.0,CC,Male,3.0,1,Shirts,5,Single,8,0,1.0,1.0,1.0,134.24,0
51964,Nein,0.0,Phone,1,8.0,CC,Male,3.0,1,Shirts,5,Single,8,0,0.0,1.0,1.0,134.24,0
52289,Nein,19.0,Phone,2,7.0,Debit Card,Female,2.0,3,Shirts,5,Single,7,0,2.0,5.0,7.0,134.23,0
50819,Nein,19.0,Phone,2,6.0,Debit Card,Female,2.0,3,Shirts,5,Single,7,0,3.0,5.0,7.0,134.23,0
52366,Nein,20.0,Phone,1,7.0,COD,Male,3.0,3,Shirts,1,Married,8,0,1.0,1.0,2.0,134.2,0
50896,Nein,20.0,Phone,1,6.0,COD,Male,3.0,3,Shirts,2,Divorced,8,0,1.0,1.0,2.0,134.2,0
50922,Nein,17.0,Phone,1,26.0,Debit Card,Male,2.0,3,Shirts,4,Single,2,0,1.0,1.0,3.0,134.2,0
52392,Nein,17.0,Phone,1,26.0,Debit Card,Male,2.0,3,Shirts,4,Single,2,0,1.0,1.0,3.0,134.2,0
51384,Nein,9.0,Phone,1,11.0,Debit Card,Female,2.0,4,Shirts,5,Married,10,1,1.0,1.0,0.0,134.19,0
52226,Nein,5.0,Computer,1,19.0,UPI,Female,3.0,4,Shirts,4,Married,2,0,2.0,2.0,2.0,134.0,0
